,keyword_de,info_de,keyword_en,info_en
0,trocken,Kommt in der Regel nie mit Wasser in Kontakt,dry,Usually never comes into contact with water
1,teuer,Kann ich mir mit meinem ganzen Geld nicht kaufen,expensive,I can't buy it with all my money
2,hart/weich,"Hat sowohl harte, als auch weiche Teile",hard/soft,Has both hard and soft parts
3,besorgen,Könnte ich innerhalb von 5 Minuten besorgen und in unsere Mitte legen,get,I could get it within 5 minutes and put it in our centre
4,Präsident,Könnte ich dem Staatspräsidenten als Geschenk überreichen,president,I could give it to the President as a present
5,Label,Hat in der Regel den Namen des Herstellers auf sich,label,Usually has the manufacturer's name on it
6,Winter,Wird vorallem im Winter gebraucht,winter,Is mainly used in winter
7,Loch,"Hat ein Loch, durch das man eine Münze stecken könnte",hole,Has a hole through which you could put a coin
8,Haare,"Hat Haare/Zotten/Borsten, aber keine Augen",hair,Has hair/villi/bristles but no eyes
9,flicken,"Wird wieder repariert, wenn es kaputt geht",mend,Will be repaired if it breaks
10,Stall,"Passt in einen Pferdestall, aber nicht in eine Telefonzelle",stable,Fits in a horse stable but not in a telephone box
11,Gehege,Haben bestimmte Tiere in ihrem Gehege,enclosure,Certain animals have it in their enclosure
12,Holz,Besteht hauptsächlich aus Holz,wood,Is mainly made of wood
13,untergehen,Würde im Wasser untergehen,sink,Would sink in water
14,heben,Könnte ich nicht hochheben,lift,Couldn't lift
15,bauen,Könnte ich selbst bauen/herstellen/anfertigen,build,Could build/make/fabricate myself
16,glänzt,Glänzt/schimmert/leuchtet/spiegelt,shines,Shines/shimmers/glows/mirrors
17,feuerfest,Kann ich mit einem Feuerzeug nicht anzünden,fireproof,Can't be lit with a lighter
18,2. Klasse,Würde in der 2. Klasse als Beleidigung durchgehen,2nd class,Would pass as an insult in 2nd class
19,Zug,Wäre in einem Passagierzugabteil undenkbar oder würde großes Aufsehen erregen,train,Would be unthinkable in a passenger train compartment or cause a great stir
20,Manege,War bereits in einer Manege zu sehen,ring,Has already been seen in a circus ring
21,Film,"Ist Thema in einem Film, den ich nennen kann",film,Is the subject of a film I can name
22,lebt,Lebt,lives,Lives
23,einfarbig,Ist einfarbig,monochrome,Is monochrome/single-coloured
24,Luther,Hat Luther garantiert nicht in seinem Leben gesehen,Luther,Martin Luther certainly never saw it in his life
25,Schuppen etc.,"Hat Schuppen, Zähne und/oder Krallen",claws etc. ,"Has scales, teeth and/or claws"
26,Fall,Würde einen Fall aus 1 Meter Höhe nicht heil überstehen,fall,Would not survive a fall from a height of 1 metre
27,Hochhaus,Könnte von einem Hochhaus fallen und unbeschadet unten ankommen,skyscraper,Could fall from a skyscraper and arrive at the bottom unscathed
28,10 Leute,"Ist groß und stabil genug, sodass 10 Erwachsene darauf stehen können",10 people,Is big and stable enough for 10 adults to stand on
29,Jumbojet,Ist an Bord eines Jumbojets zu finden,jumbo jet,Can be found on board of a jumbo jet
30,unterhaltsam,Ist unterhaltsam,entertaining,Is entertaining
31,verstecken,Könnte ich unter meiner Jacke verstecken,hide,I could hide it under my jacket
32,entbehrlich,Kann Teile entbehren und trotzdem weiter funktionieren,dispensable,Can dispense with parts and still continue to function
33,Sportzeug,Würde in der Sporttasche nicht groß auffallen,sports stuff,Wouldn't stand out much in a sports bag
34,gesehen,Habe ich noch keine fünf-mal gesehen,seen,Haven't seen it five times
35,fiktiv,Gibt es in Wirklichkeit nicht,fictional,Doesn't really exist
36,Uni,Wird in einer Universitätsvorlesung besprochen,university,Is discussed in a university lecture
37,halten,Kann ich nicht in einer Hand halten,hold,I can't hold it in one hand
38,Fitness,Fördert bei richtigem Gebrauch die Fitness,fitness,Improves fitness when used correctly
39,fixiert,Ist an einen Ort fixiert/gebunden und ändert diesen kaum,fixed,Is fixed/bound to one place and hardly changes it
40,Stange/Seil,Ist an einer Stange/Seil befestigt,pole/rope,Is attached to a pole/rope
41,Boden,Berührt in der Regel nicht den Boden,floor,Usually doesn't touch the ground
42,drehen,Hat einen drehbaren Teil,rotating,Has a rotating part
43,unnatürlich,Ist nicht natürlich,unnatural,Is not natural/organic
44,waschen,Ist ohne Weiteres ab-/waschbar,wash,Is easily removable/washable
45,Kosten,Kostet weniger als 10 Euro,cost,Costs less than 10 euros
46,Musik,Kann zum Musikmachen verwendet werden,music,Can be used to make music
47,Patent,Ist patentiert,patent,Is patented
48,1:5,Ist mehr als 5 mal so lang wie breit,1:5,Is more than 5 times as long as it is wide
49,Knöpfe,Besitzt Knöpfe/Hebel/Schalter,buttons,Has buttons/levers/switches
50,Darstellung,Besitzt einen Bildschirm und/oder anderen visuellen Output,representation,Has a screen and/or other visual output
51,Geruch,Riecht stinkend/abstoßend/streng,odour,Smells smelly/repellent/stringent
52,elekt. Strom,Leitet den elektrischen Strom,current,Conducts electricity
53,Metall,Besteht zu über 1/3 aus Metall,metal,Consists of more than 1/3 metal
54,Schwein,Kann man komplett an ein Schwein verfüttern,pig,Can be fed entirely to a pig
55,Rollen,Kann ich auf einer waagerechten Ebene 10 Meter weit rollen,rolls,Can roll 10 metres on a horizontal plane
56,Populär,"Ist weltweit bekannt, d.h. auf jedem Kontinent (ohne Antarktika)",popular,"Is known worldwide, i.e. on every continent (excluding Antarctica)"
57,Umtauschbar,"Kann ich umtauschen/zurückgeben, wenn es mir nicht gefällt und/oder Probleme bereitet",exchangeable,Can be exchanged/returned if I don't like it and/or it causes problems
58,Symmetrie,Ist punkt-/achsensymmetrisch,symmetry,Is point or axis symmetrical
59,unbrechbar,Kann ich nicht brechen/kaputt machen,unbreakable,I cannot break/destroy it
60,schießen,Kann ich 5 Meter weit mit meinem Fuß schießen,shoot,I can shot it 5 metres with my foot
61,biegbar,Kann ich mit meinen bloßen Händen verbiegen,bendable,I can bent it with my bare hands
62,rau,"Besitzt raue Stellen, welche man wie Sandpapier verwenden könnte",rough,Has rough spots that could be used like sandpaper
63,Duden,Hat im Duden die Verwendungshäufigkeit 1 oder 2,Google's Ngram Viewer,Has the frequency of use <0.0001 in Google's Ngram Viewer
64,Rakete,Könnte man in einer Rakete ins Weltall fliegen,rocket,Could be flown into space in a rocket
65,Land,"Ist in Deutschland zwar normal, aber in anderen Ländern eher selten",country,"Is normal in Germany, but rather rare in other countries"
66,Süden,Ist vorallem bei Südländern verbreitet,south,Is mainly found in the Mediterranean region
67,Nachahmung,Es werden Nachahmungen davon produziert,imitation,Imitations of it are produced
68,>100 Jahre,Wurde schon vor 100 Jahren verwendet,>100 years,Was already used 100 years ago
69,Strom,Braucht Strom,electricity,Needs electricity
70,Tod,War leider schon Grund für viele Tode,death,Unfortunately has been the cause of many deaths
71,jeder,Benutzt jeder Mensch in seinem Leben,everyone,Everyone uses it in their life (colloquial sense)
72,teurer,War früher teurer,deflation,Used to be more expensive in the past
73,Wunsch,Wünschen sich viele Kinder,wish,Many children wish for it
74,Antike,Gab es schon zur Zeit der alten Griechen,antiquity,Existed in the time of the ancient Greeks
75,Handwerk,Wird von Hand gefertigt,craft,Made by hand
76,täglich,Benutzte ich täglich,daily,I use it every day
77,Beerdigung,Würde auf einer Beerdigung nicht auffallen,funeral,Wouldn't stand out at a funeral
78,<100 Jahre,Gibt es erst seit den letzten 100 Jahren,<100 years,Only been around for the last 100 years
79,Kinderzimmer,Findet man in einem Kinderzimmer,children's room,Can be found in a child's bedroom
80,Schuss,Könnte einen Pistolenschuss abfangen,gunshot,Could stop a gunshot
81,falten,Kann ich in der Mitte falten,fold,I can fold it in half
82,Tür,Passt durch die nächstgelegende Tür,door,Fits through the nearest door
83,einweg,Kann man nur einmal verwenden,once,Can only be used once
84,aussprechen,Kann ich sexy aussprechen,pronounce,Can be pronounced sexy
85,Unterwasser,Ist 10 Meter Unterwasser immer noch voll funktionsfähig,underwater,Is still fully functional 10 metres underwater
86,Bewegung,Bewegt sich in der Regel,movement,Usually moves
87,transparent,Kann ich hindurchsehen,transparent,I can see through it
88,legal,Ist in Deutschland nicht legal,legal,Is not legal in Germany
89,<3 Kinder,Sollte von Kindern unter 3 Jahren aus Sicherheitsgründen ferngehalten werden,<3 children,Should be kept away from children under 3 years of age for safety reasons
90,Mund,Kann ich komplett in meinen Mund stecken,mouth,I can put it completely in my mouth
91,Freunde,Ist für die Verwendung von mehreren Personen gleichzeitig gedacht,friends,Is intended for use by several people at the same time
92,einzigartig,Besitzt man in der Regel nur ein Exemplar gleichzeitig,unique,You usually only have one at a time
93,langjährig,Kann man 30 Jahre lang verwenden,long-standing,Can be used for 30 years
